KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
NGY;Germania;;;;;;;;;;;;;x
NGY_ADJ;Germanic;;;;;;;;;;;;;x
NGY_absolute_monarchy;Kingdom of Germania;;;;;;;;;;;;;x
NGY_prussian_constitutionalism;Kingdom of Germania;;;;;;;;;;;;;x
NGY_hms_government;Kingdom of Germania;;;;;;;;;;;;;x
NGY_democracy;The Germanic Republic;;;;;;;;;;;;;x
NGY_bourgeois_dictatorship;Germanic Republic;;;;;;;;;;;;;x
NGY_fascist_dictatorship;The Germanic State;;;;;;;;;;;;;x
NGY_presidential_dictatorship;The Germanic State;;;;;;;;;;;;;x
NGY_proletarian_dictatorship;The Democratic state of Germania;;;;;;;;;;;;;x
DUA;Dual Monarchy;;;;;;;;;;;;;x
DUA_ADJ;Anglois;;;;;;;;;;;;;x
DUA_absolute_monarchy;The Dual Monarchy;;;;;;;;;;;;;x
DUA_prussian_constitutionalism;The Dual Monarchy;;;;;;;;;;;;;x
DUA_hms_government;The Dual Monachy of Great Britain, Ireland and France;;;;;;;;;;;;;x
DUA_democracy;The United Republics of Great Britain, Ireland and France;;;;;;;;;;;;;x
DUA_bourgeois_dictatorship;The United Republics of Great Britain, Ireland and France;;;;;;;;;;;;;x
DUA_fascist_dictatorship;The State of Angevin;;;;;;;;;;;;;x
DUA_presidential_dictatorship;The United States;;;;;;;;;;;;;x
DUA_proletarian_dictatorship;The Democratic Republics of Great Britain, Ireland and France;;;;;;;;;;;;;x